Vote_Data_Donald_Trump_Percent_of_Votes,Vote_Data_Ted_Cruz_Percent_of_Votes,Vote_Data_John_Kasich_Percent_of_Votes,Vote_Data_Marco_Rubio_Percent_of_Votes,Vote_Data_Ben_Carson_Percent_of_Votes
55,16,4.2,17.2,6.9
57.8,10.1,15.1,10.6,5
43.6,24.8,4.1,19.2,6.8
49.2,23.8,2.7,13.9,8.1
42.7,13.3,40.9,0,0
48.7,24.4,2.2,12.2,10
37.7,22.3,5.5,23.9,8.1
42.9,33.6,8.8,10.6,0
53.4,23.1,14.5,6.1,0
47.6,41.6,5.3,3.7,0
57.3,13.2,26.9,0,0
34.2,13.2,24.1,22.2,4.8
42.1,15,23.4,14,2.8
67.5,18.5,14,0,0
41.2,38.6,10.1,7.4,0
35.2,45.7,8.6,7.4,0
16,46.1,6.3,29,0
40.7,25.1,4.2,19.2,7.5
23.4,32.2,1.3,18.2,10.1
39.4,33.5,16.5,7.4,0
45.7,40.5,11.3,0,0
29.6,34.4,20.9,13.4,0
30.9,43.9,14.6,8.2,0
63,15.9,13.1,0,0
86,6,2,0,0
29.4,52.9,1,9.7,4.5
30.2,50.7,2.5,9.2,4.2
37.8,45.4,4.9,9.2,0
40.8,7.9,22.8,24.1,1.9
35.6,26.4,5.2,24.7,7.2
0,0,0,0,0
39.6,45.3,5.4,6.6,0
31.5,32,18.3,16.1,0
57.4,8.6,14.8,13.9,2.8
30.7,43,2.9,12.7,5.7
68,14.8,9.9,0,0
11.6,74.1,14.3,0,0
30.1,8.1,29,27.2,2.1
43.2,8.9,24.7,18.7,2.2
35,33.8,19.8,11,0
68.7,14.3,9,0,0
31.9,27.3,18.8,19.6,0
44.8,12.8,21.2,14.9,3.7
59.9,15.4,23.1,0,0
27.2,43.7,17.5,9.3,0
49.5,26.5,2.6,19.2,0
61,22.1,14.1,0,0
36,11.1,25.9,16.4,7.4
44.3,22.6,2.6,20.8,5.4
36.6,21.7,4.7,24.4,10.3
56.4,8.4,14.4,15.4,2
24.2,14.7,31.6,20,7.4
40.5,25.3,20.5,7.9,0
28.5,10,32.1,21.2,3.8
59.6,13.6,24.7,0,0
48.8,25.4,2,13.4,8
35.2,9.4,28.8,16.2,4.4
82.4,7.3,5.1,0,0
25.5,51,2.9,14.2,3.4
18.1,47.2,6.7,18.7,5.7
31.7,49.4,3.7,9.8,0
38.4,32.3,11.2,15.1,0
23.3,27.4,3.4,26.1,9
46.3,19.7,6.4,24.8,0
48.2,7.8,20.1,16.5,3.8
30.1,38.6,2.7,17,5.2
56.8,17.6,20.6,0,0
57.4,12.1,27.3,0,0
57.2,9.1,13.8,15.9,2.2
36.5,7.7,28.8,14.4,7.7
