State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
North Dakota,0.00026727573136359217,0.00027729886789723063,0.00024172689695182382,0.00022464205062722425,0.0002257871504532677,0.00022418257428850056,0.00020282832835652714,0.0001937108542648673,0.00020216768686471612,0.00019619170109104385,0.000176449218952722,0.00014910388564725997,0.00013551709451349364,0.00012725012480300702,0.00012311606767279854,0.00012762698885390963,0.00013065348518171723
Ohio,0.00018517104769453924,0.00017179027842809499,0.00018046552154535726,0.00018967086103368217,0.00018991897062287718,0.00018096182449181954,0.0001780676690117739,0.00016885825461518438,0.0001532015039824242,0.00014218706455211482,0.00013595719937880508,0.00012947885569824304,0.00011635333986973308,0.000115559467639661,0.00011446217189912506,0.00010412724018187558,9.49681065442189e-05
Oklahoma,0.0001702595485203229,0.00017321016166281755,0.00018619084561675718,0.00016618977427093268,0.00016067815921257965,0.00016880155786713115,0.00016850063737197614,0.00016226135053939967,0.00014506884824847202,0.00014880284567727733,0.00013364846233927013,0.0001118380584913046,0.00011134410896876798,9.792264111352032e-05,9.910709229229985e-05,0.00010722889556620431,0.00010048880626475929
Oregon,0.00017915563171833619,0.000183464263964306,0.00017904832035022861,0.0001619875877010924,0.00015757265778576835,0.00017998747913188648,0.00018606718575965805,0.00016448926084507604,0.00016897145361978485,0.00016112966543622195,0.0001457216134297039,0.00013538800752370498,0.0001253891282803122,0.00011963153487259242,0.000124455209288188,0.00012739833372594456,0.00012280545448853936
Pennsylvania,0.00018061385455546124,0.000190748761082997,0.00019047906997838213,0.00017728209201921285,0.00017662003595802784,0.00017724451899608703,0.00017056254357165416,0.00016607450572626365,0.0001518566074378368,0.000142997090969627,0.00014664581673135775,0.00014031372412875304,0.00013264766946839064,0.00011973643111064837,0.0001031110950548822,0.00011119133134102839,0.00010132511594377771
Rhode Island,0.0002535095224514371,0.0002197112366603892,0.00019940338507186498,0.00019073049780659929,0.00018895257290420104,0.00018217966082899667,0.00018043744312297989,0.00017809439002671417,0.0001893709853351109,0.0001886094953564342,0.00018171355886005026,0.0001602710870958879,0.000139031567889887,0.0001172103926548154,0.00012576045776806628,0.00011973849113536038,0.00012206037920091139
South Carolina,0.00019415188349141806,0.00017581329929935145,0.0001357679617780862,0.00014942795082304483,0.00016621576993987801,0.00015857947547123086,0.00016178301916915905,0.00014553559176850694,0.00012937980028463557,0.00013233536896268533,0.00011940459476584181,0.00010539184688672485,0.00010575804482218227,0.00010869565217391305,0.00011364593803945082,0.0001142868402644361,9.116221920550144e-05
South Dakota,0.0002637652489284537,0.00024692418353981923,0.0002226179875333927,0.00023690558235699518,0.0002299404344779257,0.00021999780002199978,0.00023128262737064694,0.00020298711565992178,0.00017665503687673895,0.00017545783528895713,0.00017323704241059345,0.00014988811922529255,0.00015004072533973507,0.00012906417716209386,0.0001407200536901128,0.0001411555208095812,0.00011996684552632727
Tennessee,0.00014795088030773783,0.0001350924676524228,0.0001478785652354616,0.00016546820410266592,0.00018051850717641654,0.00015895027937944513,0.00014139362700361197,0.0001392634818655736,0.0001361198446458295,0.00012287168685272951,0.00011691264027712626,0.0001156737998843262,0.00010382089331478779,0.00010275306867758228,9.355802612715831e-05,8.112638186477681e-05,9.157788699288744e-05
Texas,0.0001679798551551903,0.00015714973071132566,0.00016286025220508215,0.00016039313891242236,0.0001474411550495632,0.0001487655787536109,0.00014758432946667261,0.00014751490700340352,0.00014521060935873673,0.00014178373528223184,0.00013122190872892186,0.00011593979502242887,0.0001069384757113943,9.696779436860344e-05,9.07049752650772e-05,8.293292114273175e-05,8.309804928131417e-05
Utah,0.00013041861600874638,0.00011512520568100771,0.00014242269379958613,0.00015083949032707486,0.0001267310927995168,0.00012822704735852283,0.0001249800563739829,0.00011597564511452595,0.00010752895699668866,0.00010734250240144444,0.0001143395394294457,0.00011266003760699351,9.759134021923762e-05,8.782806364951436e-05,8.926977325477593e-05,8.037777554506178e-05,7.635035453656566e-05
Vermont,0.00018611043506893245,0.00019835928533983195,0.00022556814977725144,0.00024043561275723075,0.00021838193544629987,0.000190926581386127,0.00020431096128307284,0.0001929517482806621,0.00018000553863195792,0.00016482610845557937,0.00016355681554880127,0.0001490111081007857,0.00016167930909041916,0.00014719263501578974,0.0001611408774120775,0.00014814615291376546,0.0001219892378383507
Virginia,0.00017588221844300943,0.0001795289477227545,0.00018215453939447181,0.00017376616440578998,0.00017772326485146966,0.00019021421046470794,0.00019498587249598665,0.00018825562110495655,0.0001589545138507703,0.0001388946918513985,0.00016007181963599893,0.0001516897231327943,0.0001148766358767541,0.00010810250820340388,0.00010821573889706519,0.0001018158688611609,9.433039797074608e-05
Washington,0.0001820404129716797,0.00018934463089631014,0.00018771316273576052,0.00017472564433721467,0.00017256204051637703,0.0001841369028172946,0.0001619608054850726,0.0001513689696441556,0.00016727842122077599,0.00016580817896410662,0.00014902221108318827,0.00012681829097512472,0.00011533112773727033,0.0001072759943143723,0.00010541281279225027,0.00011127515904205658,0.00010161885612395874
West Virginia,0.00015933797640769963,0.00017940253828962745,0.00018155410312273057,0.00017011413595309103,0.00016514731140177037,0.00016366704479397706,0.00015282903525256413,0.0001415112310932831,0.00014323835392605718,0.00014800562421372012,0.00012637698253891358,0.00012082243304861264,0.00011664157105592433,0.00011345586566825505,9.38510969537038e-05,8.446516656530846e-05,8.609013062742488e-05
Wisconsin,0.00023368063109886303,0.0002464427723548081,0.00024106381146931524,0.00022152669871419573,0.0002324646581074471,0.00021998758292309724,0.0001966194455006646,0.0001685272919711708,0.0001489280418552549,0.00014748401986334228,0.00016039999546343448,0.000165867924042153,0.0001457259071838068,0.00014050325712096053,0.00014379064082695596,0.00014629049111807731,0.00012014352280291591
Wyoming,0.0002368305308387184,0.00021360499507065396,0.00021013157469369282,0.00021346820144829963,0.00021873370013292278,0.00020249746878164024,0.00019941836310760283,0.00017483073206395625,0.000175511376328302,0.0001741470751207156,0.00017213050622017057,0.00014082303238929745,0.00012628056384271757,0.00012877263581488932,0.00011718226864872104,0.00010373802690272831,0.00012196184336614688
